model,model_index,start_id,start_kind,start_seed,initial_parameters_log,final_parameters_log,fit_success,fit_status,fit_message,nfev,nit,train_mse,train_rmse,validation_rmse,validation_bic,test_rmse,error,selected_by_train_mse,selection_reason
LADDER_2R2C,1,6,log_uniform_within_published_bounds,3382782507.0,"[-2.124322296878284,2.7581712425116116,8.466214652081504,24.71807891965094,-7.229929779831872]","[4.999999094934464,2.492743074819799,22.477624367228888,23.971079196244933,-0.04382966431470133]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,390,29,3.258497554596164,1.805130896803931,5.006818108442849,4752.868810600551,0.8494077591505537,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,7,log_uniform_within_published_bounds,3439066297.0,"[-4.891309460803107,-7.445661286406139,18.99436322358587,11.144514719372413,-3.1813771273468525]","[2.2658420489510362,-7.367917384669346,20.56282323628588,11.21661443261271,-1.9560095563128685]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,432,24,3.260152659630302,1.8055892832065388,5.00372905575801,4751.0617672092285,0.8495674883114767,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,8,log_uniform_within_published_bounds,2220353999.0,"[-4.287491484747435,3.4779669987677195,22.05089304305598,9.568776591491442,-3.9979268811024298]","[-4.263864161317903,3.462736703780904,20.243779173715403,9.581195057978466,-2.2764924980698718]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,126,8,3.2591566436784682,1.8053134474872967,5.00558703635444,4752.148787980432,0.8495186250933752,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,9,log_uniform_within_published_bounds,3232856333.0,"[-8.860511867561101,2.835497659165922,13.160421513551324,16.70923233490739,-4.227452191689341]","[-3.584600024265594,5.0,24.926712105452328,24.189750221910092,-20.0]",False,2,ABNORMAL: ,366,15,43.296802829863644,6.580030610100811,4.26219626230595,4281.413894453285,0.6330595683829324,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,10,log_uniform_within_published_bounds,1891210304.0,"[2.3468802946846505,3.566864631235081,10.54543676269316,15.27791345323009,-3.385543856516019]","[-9.628291915977313,3.787522252325115,24.489382955702727,23.974508610175388,-20.0]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,228,12,43.297096698780145,6.580052940423819,4.262187213288364,4281.407678045126,0.6330604821074772,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,11,log_uniform_within_published_bounds,2472482792.0,"[1.964661234288549,-6.025836994643895,11.056513274181079,16.575478981144038,1.3252480208180444]","[-9.991041630955639,4.999999942227827,25.0,24.17654892782224,-20.0]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,240,11,43.29686001069363,6.580034955127034,4.262194440484678,4281.412642916872,0.6330597553183335,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,12,log_uniform_within_published_bounds,2459474908.0,"[0.533857311037405,-6.128026544154718,9.127243364981373,21.492995515258265,-4.437599406618293]","[-9.999999990882278,-9.999999990592666,25.0,8.0,-20.0]",True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,96,2,83.37580449462945,9.131035236742296,0.7806056909331488,-688.7774332999556,2.4633100309842417,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,13,log_uniform_within_published_bounds,1776033500.0,"[-8.641710845361146,1.47881170833322,13.864637976590377,12.043560718454339,-15.83093726218511]","[-8.784236931225763,0.1417170025631964,12.629022570991975,11.915206263439384,-15.815890295145778]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,96,4,74.38869842913049,8.624888314009086,9.39757452469653,6596.487001429918,9.615061295908582,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,14,log_uniform_within_published_bounds,1882239527.0,"[1.5177329302064475,-8.272766211823987,16.39324315093618,19.284901489537738,-1.1139783404528387]","[-9.990862334134516,-9.955904006787017,22.44557951706622,15.767566537134693,-19.999942999470466]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,210,16,74.39732712560142,8.625388520269764,9.403246439467567,6598.253665447951,9.622395391437614,,False,higher_train_mse_or_later_train_mse_tie
LADDER_2R2C,1,15,log_uniform_within_published_bounds,2082755029.0,"[-5.70863679418209,-7.971444879357833,16.751644418060316,15.925493661723632,-15.750216296814159]","[5.0,-9.39986094158001,13.054484837693371,9.710433265637874,-9.21097894324604]",True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,678,30,3.4762301844630477,1.8644651202055371,4.636757601624582,4528.041522415247,0.8559707767192699,,False,higher_train_mse_or_later_train_mse_tie
